Extraction Date,Extraction Hour,Publication Date,Publication Hour,Title,Author,Location,Num Comments,Photo Author,Photo Text,Sectiom,Subsection
14-04-2019,15,14-04-2019,16,Detenido en Madrid un general chavista disidente por narcotráfico a petición de EE UU,NA,NA,NA,NA,NA,AMÉRICAS,AMÉRICAS
14-04-2019,15,14-04-2019,16,Los ‘mormones’ de Macron esbozan un ‘mea culpa’,Marc Bassets,París,2,Getty,Ismaël Emelien en su etapa de consejero de Macron,INTERNACIONAL,INTERNACIONAL
14-04-2019,15,14-04-2019,16,Al menos un muerto y tres heridos en un tiroteo en una discoteca de Melbourne,NA,NA,NA,NA,NA,INTERNACIONAL,INTERNACIONAL
14-04-2019,15,14-04-2019,16,Boko Haram: cinco años sin las chicas de Chibok,Patricia Martínez,Nairobi,5,NA,NA,INTERNACIONAL,INTERNACIONAL
14-04-2019,15,14-04-2019,16,La Guardia Revolucionaria iraní: mucho más que un cuerpo de élite,Ángeles Espinosa (Enviada especial),Teherán,100,NA,NA,INTERNACIONAL,INTERNACIONAL
14-04-2019,15,05-04-2019,5,La nueva campaña de EL PAÍS: ¿Y tú qué piensas?,NA,NA,NA,CARLOS ROSILLO,Campaña de EL PAÍS: ¿Y tu qué piensas?,¿Y tú qué piensas?,UN ESPACIO COMÚN PARA COMPRENDER EL MUNDO
14-04-2019,15,13-04-2019,20,OnePlus: los teléfonos chinos se adelantan en la carrera del 5G,Jordi Pueyo Busquets,Barcelona,5,Juan Barbosa,Pete Lau el consejero delegado de OnePlus.,El País Economía,El País Economía
14-04-2019,15,13-04-2019,18,Stratolaunch el avión más grande del mundo vuela por primera vez,NA,NA,NA,NA,Stratolaunch en una imagen de archivo.,El País Economía,El País Economía
14-04-2019,15,14-04-2019,16,Baterías: cargando el cambio en coches eléctricos,José Ángel Plaza López,Madrid,2,NA,NA,El País Economía,El País Economía
14-04-2019,15,13-04-2019,15,Fisher Price retira del mercado una cuna por la muerte de más de 30 bebés,NA,NA,NA,NA,NA,El País Economía,El País Economía
14-04-2019,15,13-04-2019,16,Nuevos mercados para un coltán sin sangre,Susana Carrizosa,Madrid,20,NA,NA,El País Economía,El País Economía
14-04-2019,15,14-04-2019,17,“Tenemos que combinar el llegar a fin de mes con evitar el fin del mundo”,Ferran Bono,Valencia,7,M. Torres,Nicolas Hulot la pasada semana en Valencia.,Sociedad,Sociedad
14-04-2019,15,14-04-2019,17,Hacerse mayor y tomar más de cinco pastillas al día: un problema añadido de salud,Ana Alfageme,NA,206,NA,NA,Sociedad,Sociedad
14-04-2019,15,14-04-2019,17,La revolución del orden. Así son y así trabajan las Marie Kondo españolas,Iván de Moneo,NA,18,NA,NA,Sociedad,Sociedad
14-04-2019,15,14-04-2019,16,Cómo evitar el abuso de antibióticos en animales y plantas,Ángeles Lucas,Roma,NA,NA,NA,Sociedad,Sociedad
14-04-2019,15,13-04-2019,15,El ADN confirma que un médico holandés usó su propio semen para engendrar 49 hijos,Isabel Ferrer,La Haya,109,NA,NA,Sociedad,Sociedad
14-04-2019,15,13-04-2019,16,Una modesta sugerencia: sobre Caperucita Roja y otros clítoris,Nora Catelli,NA,70,NA,NA,Sociedad,Sociedad
14-04-2019,15,13-04-2019,15,Los desaparecidos de Lego de Ai Weiwei,David Marcial Pérez,México,2,Jonás Cortés,Ai Weiwei en su exposición en el MUAC.,Cultura,Cultura
14-04-2019,15,14-04-2019,16,La paloma de Ravensbrück,Jacinto Antón,NA,8,NA,Neus Català tras ser liberada del campo de Ravensbrück.,Cultura,Cultura
14-04-2019,15,14-04-2019,16,La voz de Woody se pone en ‘huelga’,Héctor Llanos Martínez,Madrid,50,NA,NA,Cultura,Cultura
14-04-2019,15,14-04-2019,16,El americano que lleva 45 años leyendo ‘La Celestina’,Juan Cruz,Madrid,12,NA,NA,Cultura,Cultura
14-04-2019,15,13-04-2019,20,Christina Lindberg musa de ‘Kill Bill’: “Pensaban que no era una buena actriz así que en ‘Thriller’ fui muda”,Mar Centenera,Buenos Aires,1,NA,NA,Cultura,Cultura
14-04-2019,15,14-04-2019,17,El VAR protagonista por tres veces en San Mamés,Jon Rivas,Bilbao,NA,LUIS TEJIDO EFE,Advíncula y Bebe del Rayo protestan al linier.,Deportes,Deportes
14-04-2019,15,14-04-2019,17,Una hermosa batalla se libra en Augusta,Juan Morenilla,Augusta,4,NA,NA,Deportes,Deportes
14-04-2019,15,14-04-2019,17,En el Huesca-Barça ganó Riqui Puig,Ramon Besa,NA,10,NA,NA,Deportes,Deportes
14-04-2019,15,14-04-2019,17,Ferrari se la lía a Leclerc y Hamilton gana en China,Oriol Puigdemont,NA,5,NA,NA,Deportes,Deportes
14-04-2019,15,13-04-2019,16,El divino Cazorla,Jorge Valdano,NA,3,NA,NA,Deportes,Deportes
14-04-2019,15,12-04-2019,20,La Hacienda mexicana perdonó multas a cuatro clubes mexicanos,NA,NA,NA,NA,NA,Deportes,Deportes
14-04-2019,15,14-04-2019,16,“Los niños sin padres que encontraron en Siria son mis nietos”,Óscar Gutiérrez Garrido,Madrid,79,NA,NA,ESPAÑA,ESPAÑA
14-04-2019,15,14-04-2019,16,La nueva vieja derecha,Jesús Rodríguez,NA,146,NA,NA,ESPAÑA,ESPAÑA
14-04-2019,15,14-04-2019,16,Mujeres jóvenes y de centro los más indecisos,K. Llaneras,Madrid,2018,NA,NA,ESPAÑA,ESPAÑA
14-04-2019,15,13-04-2019,20,Las lecciones de español con el actor Oscar Isaac en la presentación de ‘Star Wars’,Darinka Rodríguez,NA,NA,NA,NA,Verne,Verne
14-04-2019,15,13-04-2019,20,Ahora es “el abecedario del diablo”: por qué generan tanta alarma las patrañas sobre niños en peligro,Pablo Cantó,NA,3,NA,NA,Verne,Verne
14-04-2019,15,13-04-2019,19,‘El Fifí’ un periódico del México posrevolucionario y la broma del presidente,Almudena Barragán,NA,8,NA,NA,Verne,Verne
14-04-2019,15,14-04-2019,12,El primer humano que conquistó una isla,Nuño Domínguez,NA,28,MNHN,Vista de la isla de Luzón (Filipinas).,Ciencia y Tecnología,Ciencia y Tecnología
14-04-2019,15,14-04-2019,16,La NASA encarga el diseño de las casas extraterrestres,Raúl Limón,NA,8,NA,NA,Ciencia y Tecnología,Ciencia y Tecnología
14-04-2019,15,13-04-2019,20,Angelina Jolie y Brad Pitt recuperan la soltería de manera oficial,NA,NA,NA,NA,Angelina Jolie y Brad Pitt en 2015.,Estilo y Vida,Estilo y Vida
14-04-2019,15,13-04-2019,20,La reinvención del rebelde Ricardo Bofill,Cristian Segura,Barcelona,7,NA,NA,Estilo y Vida,Estilo y Vida
14-04-2019,15,13-04-2019,16,Cádiz reconoce a Alejandro Sanz con el título de Hijo Adoptivo,Jesús A. Cañas,Cádiz,2,NA,NA,Estilo y Vida,Estilo y Vida
14-04-2019,15,13-04-2019,16,Kéfir: la Rosalía de los lácteos,Lucía Taboada,NA,16,NA,NA,Estilo y Vida,Estilo y Vida
14-04-2019,15,13-04-2019,16,Los mejores 'snacks' del supermercado,Ana G. Moreno,NA,8,NA,NA,Estilo y Vida,Estilo y Vida
14-04-2019,15,12-04-2019,21,¿Debe un señor dejar pasar primero a una señora?,Martín Caparrós,NA,226,NA,NA,Estilo y Vida,Estilo y Vida
14-04-2019,15,13-04-2019,16,Israel extrae miles de notas con deseos de las grietas del Muro de las Lamentaciones,Lourdes Baeza,Jerusalén,36,NA,NA,UN PAÍS DE BLOGS,UN PAÍS DE BLOGS
